Job Title,Company Name,Location,PostDate,ExtractDate,Summary
Senior Fund Accountant,Lennar Homes,"Charlotte, NC 28202 (Dilworth area)",30+ days ago,2022-02-02,"Coordinate with the third-party property accountants, auditors, and tax team to assist with annual audits and tax compliance.REIT & IFRS experience is a plus."
,Krispy Kreme,"Charlotte, NC 28203 (Brookhill area)+1 location",1 day ago,2022-02-02,"The Senior Accountant Fixed Assets role on the Corporate Accounting team has the overall responsibility of processing transactions, analyzing significant…"
Senior Audit Consultant,Duke Energy,"Charlotte, NC",22 days ago,2022-02-02,"Internal and/or external auditing experience, preferably from a large public accounting firm.This position will be based in Charlotte, NC."
Senior Development Accountant,Lennar Homes,"Charlotte, NC 28202 (Dilworth area)",30+ days ago,2022-02-02,"Cross train for position(s) within the division organizational structure from time to time, as required by the division.Real Estate Experience a plus."
Senior Treasury Analyst,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"The analyst can be expected to be exposed to several areas of Treasury and will likely be responsible for special projects such as tax restructurings,…"
Senior Internal Auditor,City of Charlotte and Mecklenburg County,"Charlotte, NC",30+ days ago,2022-02-02,This position will perform audits that address financial and business operations among highly varied City Departments in accordance with generally accepted…
Accounting Policy Senior Manager,TIAA,"Charlotte, NC",30+ days ago,2022-02-02,"Provides a variety of financial services to the organization, including planning, record keeping, reporting, etc.5 Years Required; 7 Years Preferred."
Senior Staff Accountant / Financial Analyst,Rosegate Mortgage,"Charlotte, NC",11 days ago,2022-02-02,"Guide the functional responsibilities of the accounting staff, adhering to generally accepted accounting principles and other regulatory and advisory…"
,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)+1 location",Today,2022-02-02,"A career in Finance, within Internal Firm Services, will provide you with the opportunity to help PwC in all aspects of our Finance internal function including…"
,WELLS FARGO BANK,"Charlotte, NC+2 locations",3 days ago,2022-02-02,Perform audit testing components of assigned audits within multiple segments of the Audit Plan.Plan and execute independent audit testing and ensure that they…
Senior Statutory Accountant - 100% Remote Eligible,Equitable,"Remote in Charlotte, NC",19 days ago,2022-02-02,Generally Accepted Accounting Principles (GAAP): Knowledge of the generally accepted accounting principles (GAAP); ability to apply GAAP appropriately within…
Senior Development Accountant,Lennar Homes,"Charlotte, NC 28202 (Dilworth area)",30+ days ago,2022-02-02,"Cross train for position(s) within the division organizational structure from time to time, as required by the division.Real Estate Experience a plus."
Senior Fund Accountant,Lennar Homes,"Charlotte, NC 28202 (Dilworth area)",30+ days ago,2022-02-02,"Coordinate with the third-party property accountants, auditors, and tax team to assist with annual audits and tax compliance.REIT & IFRS experience is a plus."
Accounting Policy Senior Manager,TIAA,"Charlotte, NC",30+ days ago,2022-02-02,"Provides a variety of financial services to the organization, including planning, record keeping, reporting, etc.5 Years Required; 7 Years Preferred."
Senior Treasury Analyst,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"The analyst can be expected to be exposed to several areas of Treasury and will likely be responsible for special projects such as tax restructurings,…"
Senior Internal Auditor (Remote),Xylem,"Remote in Charlotte, NC",30+ days ago,2022-02-02,"Based on a firm understanding of auditing standards, conducts various reviews to ensure Xylems’ facilities compliance with established policies, SOA and US…"
Senior Inventory Accountant,Electrolux,"Charlotte, NC",30+ days ago,2022-02-02,"Strong understanding of financial reporting, accounting, planning and economics.The Senior Accountant-Inventory will ensure accurate and complete transactional…"
,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",Just posted,2022-02-02,"Lead annual strategic planning and budget planning for projects within the portfolio, monitoring and analyzing financial and performance data as well as risks."
Senior Reinsurance Accountant,Endurance Specialty Holdings Ltd.,"Charlotte, NC",30+ days ago,2022-02-02,"Casualty insurance and reinsurance, established in March 2017 as the result of the acquisition of.Endurance Specialty Holdings Ltd. by Sompo Holdings Ltd. …"
Senior Investment Accounting Manager,TIAA,"Charlotte, NC",30+ days ago,2022-02-02,Leads the preparation of timely and accurate GAAP work papers and supporting schedules to satisfy all investment accounting requirements for internal and…
Controllership Services | Accounting Advisory | Senior Consultant,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",12 days ago,2022-02-02,"Participating in engagement planning and budgeting; defining the work product structure and content; managing engagement economics, engagement risk and…"
Sr Cost Allocation Accountant,TIAA,"Charlotte, NC",30+ days ago,2022-02-02,Manage project details and report progress to senior management.The Senior Cost Allocation Accountant performs detailed analysis and research focused on the…
,Deloitte,"Hybrid remote in Charlotte, NC+1 location",Just posted,2022-02-02,"In this interesting and diverse role, you’ll be the driving force behind executing our Global Tax & Legal Clients and Industries marketplace strategy."
,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)+10 locations",Today,2022-02-02,"A career within PwC Private will provide the opportunity to help private companies with a range of business advisory needs such as audit, tax compliance, and…"
Senior Manager - Financial Advisory Services,"Embark, LLC","Charlotte, NC 28205 (North Sharon Amity area)",30+ days ago,2022-02-02,"We pay 100% of premiums for you and your entire family on health, vision, and life insurance, and short and long-term disability.Strong knowledge of U.S. GAAP."
,EnPro Industries,"Charlotte, NC 28209 (Ashbrook-Clawson Village area)",Today,2022-02-02,Assist in the research of tax planning opportunities.Support structural tax planning strategies.Model the impact of tax reform items in real time for…
,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)+29 locations",Today,2022-02-02,"Demonstrates thorough knowledge and/or a proven record of success in a variety of state and local tax laws, including multi-state income tax planning,…"
"Senior Accountant-Rock Hill, SC",Skyline Steel LLC,"Rock Hill, SC 29730",30+ days ago,2022-02-02,"Skyline Steel, LLC is seeking qualified applicants for the position of Senior Accountant.Responsibilities include but are not limited to: (1) Assisting with…"
Senior Staff Accountant / Financial Analyst,Rosegate Mortgage,"Charlotte, NC",11 days ago,2022-02-02,"Guide the functional responsibilities of the accounting staff, adhering to generally accepted accounting principles and other regulatory and advisory…"
,EY,"Charlotte, NC 28203 (Dilworth area)",1 day ago,2022-02-02,Lead and participate in multiple engagement teams as a senior firm executive within Financial Accounting Advisory Services.CPA license in your work state.
,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)",1 day ago,2022-02-02,Perform tax research and tax analysis related to Tax Planning & Advisory projects including preparation of tax memoranda.5+ years of total tax experience.
Transfer Pricing - Senior Associate,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",18 days ago,2022-02-02,"You’ll focus on all aspects of documentation planning, dispute resolution, and advance pricing agreements.Demonstrates considerable technical skills, including…"
,WELLS FARGO BANK,"Charlotte, NC",7 days ago,2022-02-02,Experience at a financial institution or accounting firm.Be responsible for resource management and assisting broader team in overall audit plan completion.
"Accounting & Reporting Advisory Senior, SOX",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations",30+ days ago,2022-02-02,"Lead and support all phases of financial and operational audits and compliance projects for our clients, including risk assessment, planning, scoping, execution…"
"Senior Consultant, Transfer Pricing",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Transfer pricing on a global scale-a multidisciplinary field that integrates economics, business, legal, and tax principles in the evaluation of global…"
Senior Manager of Reporting and Accounting Policy,"Driven Brands, Inc.","Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"At least 6 years of experience at a “Big 4” public accounting firm, including significant SEC experience with companies or equivalent industry experience."
"Accounting and Finance Professionals – Senior Associates, Associate Managers & Managers",The Siegfried Group,"Charlotte, NC",30+ days ago,2022-02-02,"Strong communication & interpersonal skills, displaying the ability to connect and build relationships with clients, firm leadership, & peers."
,KPMG,"Charlotte, NC 28202 (Fourth Ward area)",5 days ago,2022-02-02,Minimum of three years of experience providing accounting and management consulting services to corporate and/or private equity clients as part of a major…
,Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)+1 location",6 days ago,2022-02-02,The Tax Senior Accountant performs complex tax duties on a regular basis as well as trains and develops staff accountants.Train and develop Staff Accountants.
Marketing Senior Specialist- Tax,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Event support - planning logistics, invitations, registration, conference materials and on-site experience as well as the post-event sales enablement and ROI…"
Senior Tax Manager,Wastequip,"Charlotte, NC 28211 (Barclay Downs area)",11 days ago,2022-02-02,"Assisting VP and treasury with tax planning issues as required.Ensuring that tax filings, quarterly estimated tax payments and other various tax payment…"
"Senior Associate, Financial Accounting",SCOR,"Charlotte, NC",30+ days ago,2022-02-02,"The Senior Associate, Financial Accounting is responsible for understanding how SCOR’s underlying accounting data impacts various projects, initiatives, and…"
Senior Audit Associate,Burkett Burkett & Burkett Certified Public...,"Hybrid remote in Rock Hill, SC",25 days ago,2022-02-02,Perform planning and substantive audit / review procedures and/or AUPs.Participate in marketing events to promote the firm.
Senior Staff Accountant,CliftonLarsonAllen,"Charlotte, NC 28202 (Downtown Charlotte area)",12 days ago,2022-02-02,"You will be responsible for a variety of accounting, financial and operational services for our clients including processing transactions, completing account…"
Global Operation Regulatory Engagement and Audit Center of Excellence Sr. Business Control Specialist,Bank of America,"Charlotte, NC 28202 (First Ward area)",13 days ago,2022-02-02,"Knowledgeable of Bank of America’s business lines, operations, organizational structure, senior executives, etc.SharePoint, Excel, Word, and PowerPoint skills."
"Senior Associate, Learning & Development - Global Audit",KPMG,"Charlotte, NC 28202 (Fourth Ward area)",21 days ago,2022-02-02,KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package.
Senior Auditor,Hendrick Automotive Group,"Charlotte, NC 28212 (East Forest area)",30+ days ago,2022-02-02,Ensure that an acceptable level of internal control exists.Identify any potential off-balance sheet liabilities to minimize the risk they represent to the…
"Senior Auditor - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",30+ days ago,2022-02-02,"Some experience planning and executing audits.The Sr. Auditor role will report to Dentsply Sirona’s Audit Manager.CPA or CIA preferred, but not required."
Senior SAP Compliance Program Manager,Microsoft,"Charlotte, NC",30+ days ago,2022-02-02,"Extensive organizational and planning skills, with experience building and executing tactical plans.In this program management role, you will be responsible…"
,EY,"Charlotte, NC 28202 (Fourth Ward area)+3 locations",7 days ago,2022-02-02,"Lead workstreams from planning to implementation – managing resources and budgets effectively.Our key capabilities include: Mobility Tax Compliance, Income Tax…"
"Senior Functional Systems Specialist - Accounting, Finance and Job Cost",Skanska,"Charlotte, NC",12 days ago,2022-02-02,"Collaborate with stakeholders to document current-state and future-state processes that are supported by Skanska’s accounting, finance and job cost technologies…"
Senior Income Tax Accountant,Truist Financial,"Charlotte, NC 28269",19 days ago,2022-02-02,Apply a solid understanding of tax concepts and use knowledge of the business and key processes gained from practical experience in the preparation of tax…
Senior Associate - Risk Management and Compliance Solutions Technology,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)+1 location",30+ days ago,2022-02-02,"Uphold the firm's code of ethics and business conduct.Defining resource requirements, project workflow, budgets, billing and collection;"
Sr Treasury Analyst,Ally Financial,"Charlotte, NC 28202 (Downtown Charlotte area)",27 days ago,2022-02-02,Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals.
Senior Audit Associate,Burkett Burkett & Burkett Certified Public...,"Hybrid remote in Rock Hill, SC",25 days ago,2022-02-02,Perform planning and substantive audit / review procedures and/or AUPs.Participate in marketing events to promote the firm.
"Senior Auditor - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",30+ days ago,2022-02-02,"Some experience planning and executing audits.The Sr. Auditor role will report to Dentsply Sirona’s Audit Manager.CPA or CIA preferred, but not required."
Property Tax Senior - Multistate,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+14 locations",30+ days ago,2022-02-02,"As a Property Tax Senior Consultant within the Multistate Tax Services group, you will be a valuable member on tax engagements and provide state and local…"
Sr Tax Analyst -Indirect Tax,Honeywell,"Charlotte, NC 28202 (Downtown Charlotte area)+3 locations",22 days ago,2022-02-02,"Planning Activities – Consult on tax planning strategies, including sales & use and property tax planning which maximize savings on a defensible basis."
Assurance Senior Associate- Real Estate,CohnReznick,"Charlotte, NC 28202 (Fourth Ward area)",15 days ago,2022-02-02,"Serving as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and final deliverable."
Technical Accounting Consulting (TAC) - Senior Director,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,Collaborate directly with firm specialists/subject matter experts on complex accounting matters.12+ years of current or recent experience in a public…
Sr. Audit Manager - Product Manager,Bank of America,"Charlotte, NC 28202 (First Ward area)",30+ days ago,2022-02-02,"Responsible for communicating with senior management on the vision of the product/deliverables, project status and escalation of risks."
GWIM & Consumer Mortgage Controller Team â€“ Senior Product / Specialty Controller,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"Our business partners include Product BFOs, GWIM Finance, Consumer Mortgage Finance, LOB Operations, Regulatory Reporting, Accounting Policy and other…"
Audit & Assurance Senior Assistant,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations",30+ days ago,2022-02-02,"Experience with a regional or Big 4 accounting firm preferred.As an Audit & Assurance Senior Assistant, you will work closely with our clients to understand…"
"Senior Functional Systems Specialist - Accounting, Finance and Job Cost",Skanska,"Charlotte, NC",12 days ago,2022-02-02,"Collaborate with stakeholders to document current-state and future-state processes that are supported by Skanska’s accounting, finance and job cost technologies…"
Financial Markets & Real Estate Accounting Advisory Senior Associate,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)+1 location",30+ days ago,2022-02-02,Uphold the firm's code of ethics and business conduct.Use a broad range of tools and techniques to extract insights from current industry or sector trends.
,WELLS FARGO BANK,"Charlotte, NC",7 days ago,2022-02-02,Experience at a financial institution or accounting firm.Be responsible for resource management and assisting broader team in overall audit plan completion.
"Senior Audit Analyst (Remote) - Charlotte, NC Area only",Fidelity Investments,"Remote in Charlotte, NC",22 days ago,2022-02-02,Communicating findings to business leaders and senior management.Working with middle to senior management within a business or function to facilitate the…
Accounting Advisory – Senior Manager,CFGI,"Charlotte, NC",30+ days ago,2022-02-02,"Lead firm initiatives and identify areas for improvements.Play an active role in the firm’s recruiting efforts, client relationship building and business…"
Sr. Audit Manager - Product Manager,Bank of America,"Charlotte, NC 28202 (First Ward area)",30+ days ago,2022-02-02,"Responsible for communicating with senior management on the vision of the product/deliverables, project status and escalation of risks."
"Audit & Assurance Growth & Offerings - Pursuits, Senior Specialist",Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations",30+ days ago,2022-02-02,"This position is part of a team of professionals focused on creating content and messaging for pursuits, leading programs, deploying resources to support…"
Strategic Tax Review - State and Local Tax Senior - Multistate,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+14 locations",30+ days ago,2022-02-02,"2+ years' experience with state tax planning, tax research, and tax analysis.Previous Big 4 or large CPA firm experience."
Audit Seasonal Senior Associate,KPMG,"Charlotte, NC 28202 (Fourth Ward area)+1 location",30+ days ago,2022-02-02,Support the design and execution of an engagement's audit approach and procedures in accordance with relevant regulatory professional auditing and assurance…
Accounting Advisory Senior Associate II,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Strong technical skills and current knowledge in US GAAP, GAAS, SEC Reporting, accounting advisory services or transaction advisory services and/or mergers and…"
Sr Tax Accountant,Spectrum,"Charlotte, NC+1 location",30+ days ago,2022-02-02,Assist with scheduling and facilitating auditor fieldwork and document retrieval in legacy and current ERP systems.Proven interpersonal and negotiation skills.
"Senior Associate, Transaction Advisory Services - Financial - Atlantic Region",BDO,"Remote in Charlotte, NC",18 days ago,2022-02-02,Ability to interact with and adapt communication style to successfully convey messaging and objectives to all levels of management.
,Central Piedmont Community College,"Charlotte, NC 28204 (Elizabeth area)",6 days ago,2022-02-02,"PT Accounting Clerk Senior, Business Office (Financial Services).PT Accounting Clerk, Senior position available in Financial Services Business Office located…"
Senior Audit Associate,Rödl & Partner,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"We recognize that talented people are attracted to companies that provide competitive pay, comprehensive benefits packages and outstanding advancement…"
Capital Markets Accounting Advisory Services - Senior Manager,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,Uphold the firm's code of ethics and business conduct.Technical Capabilities: advising clients on relevant technical issues for their business including…
Charlotte Internal Audit & Financial Advisory (Financial Services) Senior Consultant,Protiviti,"Charlotte, NC",30+ days ago,2022-02-02,"Charlotte Internal Audit & Financial Advisory (Financial Services) Senior Consultant.The Senior Consultant coaches Interns, Consultants, and facilitates the…"
Technical Accounting Consulting (TAC) - Senior Director,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,Collaborate directly with firm specialists/subject matter experts on complex accounting matters.12+ years of current or recent experience in a public…
"Sr Director, Treasury IT & Data Strategy",Ally Financial,"Charlotte, NC 28202 (Downtown Charlotte area)",13 days ago,2022-02-02,Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals.
New Market Tax Credits Senior Manager,Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)",30+ days ago,2022-02-02,"TAG’s current portfolio consists of investments in areas with poverty rates as high as 66%, median family income as low as 14.24%, and unemployment rates as…"
Transfer Pricing Senior Analyst,Trane Technologies,"Davidson, NC 28036",30+ days ago,2022-02-02,4+ years of North America and Latin American transfer pricing and corporate income tax experience with a Big 4 Accounting firm and/or in-house transfer pricing…
Audit Senior - Commercial,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"3 years of current or recent experience in a public accounting environment, auditing financial statements.Supervise Audit Associates on engagement teams and…"
Sr Tax Accountant,Spectrum,"Charlotte, NC+1 location",30+ days ago,2022-02-02,Assist with scheduling and facilitating auditor fieldwork and document retrieval in legacy and current ERP systems.Proven interpersonal and negotiation skills.
,WELLS FARGO BANK,"Charlotte, NC+3 locations",7 days ago,2022-02-02,Assist in planning and organizing work in an annual cycle and project cycle.Experience at a financial institution or accounting firm.A BS/BA degree or higher.
Tax Senior Associate - International Tax,RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location",30+ days ago,2022-02-02,"Dedicates time to coaching others in tax software, business process, research skills, technical expertise, planning and project management skills while engaging…"
Sr Internal Auditor,Spectrum,"Charlotte, NC+1 location",30+ days ago,2022-02-02,"This position is responsible for planning and performing operational audits under the supervision of an Internal Audit Manager, including: process mapping, risk…"
"Senior Associate, SALT Sales & Use",RSM US LLP,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Provide excellent client service to multi-state companies with state and local tax issues including compliance, advisory services, planning, technology, and…"
"Senior Manager, Transfer Pricing",KPMG,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package.
Accounting & Reporting Advisory Senior Manager,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Participate in strategic firm initiatives such as the development of written materials to support new service offerings, the development and delivery of…"
New Market Tax Credits Senior Manager,Cherry Bekaert LLP,"Charlotte, NC 28204 (Dilworth area)",30+ days ago,2022-02-02,"TAG’s current portfolio consists of investments in areas with poverty rates as high as 66%, median family income as low as 14.24%, and unemployment rates as…"
Accounting Advisory Senior Associate II,Grant Thornton,"Charlotte, NC 28244 (Downtown Charlotte area)",30+ days ago,2022-02-02,"Strong technical skills and current knowledge in US GAAP, GAAS, SEC Reporting, accounting advisory services or transaction advisory services and/or mergers and…"
Senior Tax Manager,Wastequip,"Charlotte, NC 28211 (Barclay Downs area)",11 days ago,2022-02-02,"Assisting VP and treasury with tax planning issues as required.Ensuring that tax filings, quarterly estimated tax payments and other various tax payment…"
OFRO Internal Audit Senior Associate,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"A career in Finance, within Internal Firm Services, will provide you with the opportunity to help PwC in all aspects of our Finance internal function including…"
Audit Analytics Senior - Data Analytics Support Specialist,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"You will be part of a team working closely with senior leadership.Do you enjoy everything around data-coding, database structures, data transformations,…"
Sr. Tax Analyst,Numerator,"Remote in Charlotte, NC",14 days ago,2022-02-02,"Experience working with a multinational foreign parent company is strongly desired.Here at Numerator, we've made all corporate roles have maximum flexibility…"
SENIOR ACCOUNTING MANAGER,"Murata Machinery USA, Inc.","Charlotte, NC 28208 (Westerly Hills area)",30+ days ago,2022-02-02,Manage completion of year end audit performed by an independent accounting firm.Dynamics Great Plains Software experience desired.
,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)+3 locations",3 days ago,2022-02-02,"Comprehensive technical skills in a wide range of multistate sales and use tax matters, including FAS 5, reverse audits, tax planning, consulting, compliance,…"
Senior Audit Manager- Regulatory Reporting,Truist Financial,"Charlotte, NC 28269",30+ days ago,2022-02-02,"Lead planning, scoping, and development of the audit test plan, including incorporating the use of data analytics, and coordinate engagement resources and…"
AAS Loan Accounting Senior Associate,KPMG,"Charlotte, NC 28202 (Fourth Ward area)",30+ days ago,2022-02-02,"Assist with financial instruments accounting advisory services including position papers, policies and procedures related to originated or acquired loans, debt…"
,PRICE WATERHOUSE COOPERS,"Charlotte, NC 28202 (Fourth Ward area)",6 days ago,2022-02-02,Uphold the firm's code of ethics and business conduct.Grasping firm capabilities and offerings and incorporating messaging into marketing programs;
Sr Tax Manager,Bank of America,"Charlotte, NC 28202 (First Ward area)",30+ days ago,2022-02-02,"Activities include tax forecasting, assisting management in the planning, development and implementation of tax minimization strategies including project…"
Senior Operational Auditor,Lowe's,"Mooresville, NC 28117",30+ days ago,2022-02-02,The Senior Auditor will assist in the planning and execution of audit engagements by: conducting interviews and walkthroughs with process owners; assisting in…
Senior Auditor/Audit Supervisor â€“ Technology Infrastructure,Bank of America,"Charlotte, NC 28202 (First Ward area)+4 locations",30+ days ago,2022-02-02,"As a member of the Corporate Audit team, the candidate will execute audit work to assess the adequacy of controls on various technology infrastructure products …"
"Tax Senior Associate, Transaction Advisory Services",Dixon Hughes Goodman,"Charlotte, NC 28209 (Barclay Downs area)",30+ days ago,2022-02-02,"Assist in post-transaction consulting engagements such as State Nexus Studies and Voluntary Disclosure Agreements, and other state planning initiatives."
"CSS Senior Manager, Process Strategy, Tax GPO",Corning,"Charlotte, NC 28216 (Oakdale South area)",30+ days ago,2022-02-02,"Active portfolio management including project sponsorship, initial chartering, resource planning, budgeting, sponsor and executive committee reviews,…"
Audit Analytics Senior - Data Analytics Support Specialist,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2022-02-02,"You will be part of a team working closely with senior leadership.Do you enjoy everything around data-coding, database structures, data transformations,…"
"Senior Financial Analyst, FP&A - Cost Analytics",Lowe's,"Mooresville, NC 28117",30+ days ago,2022-02-02,Experience performing financial and ad hoc analyses using advanced Excel functionality and providing recommendations based on results to senior management.
Audit Management Senior Manager - Enterprise Technology,WELLS FARGO BANK,"Charlotte, NC",9 days ago,2022-02-02,Experience at a large financial institution or accounting firm.Be responsible for resource management and assisting broader team in overall audit plan…
